No,Title,Full Name,First Name,Last Name,Party,Profession,Birthplace,Marital Status,Constituency,Constituency Info,Profile URL,Homepage,Facebook,Instagram,TikTok,X,Mastodon,YouTube,Bluesky,LinkedIn,Threads,Telegram,Youtube,Gettr,Odyssee,Rumble,Xing,Twitch,WhatsApp,Tiktok,Linkedin,TiKTOK,LindedIn,Blog,Spotify,BlueSky,https://,Instgagram,Theads,Instgram,Telegramm,homepage
212,,Gabriela Heinrich,Gabriela,Heinrich,SPD,Redakteurin,Berlin; verheiratet; ein Kind.,verheiratet,Bayern,Wahlkreis 243: Nürnberg-Nord,https://www.bundestag.de/abgeordnete/biografien/H/heinrich_gabriela-1044842,https://gabriela-heinrich.de,https://www.facebook.com/heinrichgabriela,https://www.instagram.com/gabriela_heinrich,,,,,,,,,,,,,,,,,,,,https://gabriela-heinrich-blog.com/,https://open.spotify.com/show/2n8b5A8gmk9Z147ry2zeJT,,,,,,,
213,,Linda Heitmann,Linda,Heitmann,Bündnis 90/Die Grünen,Sozialwissenschaftlerin,Hamburg; verheiratet; ein Kind.,verheiratet,Hamburg,Wahlkreis 019: Hamburg-Altona,https://www.bundestag.de/abgeordnete/biografien/H/heitmann_linda-1044850,https://linda-heitmann.de,https://www.facebook.com/lindaheitmanngruenehamburgaltona/,https://instagram.com/linda.altona,,,,,https://bsky.app/profile/linda-altona.bsky.social,https://de.linkedin.com/in/linda-heitmann-altona,,,,,,,,,,,,,,,,,,,,,,
214,,Matthias Helferich,Matthias,Helferich,AfD,Rechtsanwalt,Dortmund; evangelisch; ledig.,ledig,Nordrhein-Westfalen,Wahlkreis 142: Dortmund II,https://www.bundestag.de/abgeordnete/biografien/H/helferich_matthias-1044860,https://matthiashelferich.de,https://www.facebook.com/helferich.afd,https://www.instagram.com/matthiashelferichafd,,https://x.com/MatthiasMdb,,https://www.youtube.com/@matthiashelferichmdb,,,,,,,,,,,,,,,,,,,,,,,,
215,,Mark Helfrich,Mark,Helfrich,CDU/CSU,Betriebswirt,Itzehoe; verheiratet; zwei Kinder.,verheiratet,Schleswig-Holstein,Wahlkreis 003: Steinburg – Dithmarschen Süd,https://www.bundestag.de/abgeordnete/biografien/H/helfrich_mark-1044862,http://www.mark-helfrich.de/,https://de-de.facebook.com/markhelfrich.de/,http://www.instaram.com/mark.helfrich.cdu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,Udo Theodor Hemmelgarn,Udo Theodor,Hemmelgarn,AfD,Immobilienentwickler,Harsewinkel.,geschieden,Nordrhein-Westfalen,Wahlkreis 134: Lippe I,https://www.bundestag.de/abgeordnete/biografien/H/hemmelgarn_udo-1044878,https://www.udo-hemmelgarn.de,,,,https://www.x.com/udohemmelgarn,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,Marc Henrichmann,Marc,Henrichmann,CDU/CSU,Rechtsanwalt,Münster; römisch-katholisch; verheiratet; ein Kind.,verheiratet,Nordrhein-Westfalen,Wahlkreis 126: Coesfeld – Steinfurt II,https://www.bundestag.de/abgeordnete/biografien/H/henrichmann_marc-1048708,http://www.marc-henrichmann.de,http://www.facebook.com/m.henrichmann,https://instagram.com/marc_henrichmann,,https://www.twitter.com/marchenrichmann,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,Stefan Henze,Stefan,Henze,AfD,Rentner,Hannover; konfessionslos; verheiratet; ein Kind.,verheiratet,Niedersachsen,Wahlkreis 047: Hannover-Land II,https://www.bundestag.de/abgeordnete/biografien/H/henze_stefan-1044902,https://www.bundestag-henze.de,https://www.facebook.com/stefanhenzeafd/,https://www.instagram.com/stefan_henze/,,https://x.com/StefanHenz15180,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,Diana Herbstreuth,Diana,Herbstreuth,CDU/CSU,Berufssoldatin,Erfurt; geschieden; ein Kind.,geschieden,Thüringen,Wahlkreis 194: Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,https://www.bundestag.de/abgeordnete/biografien/H/herbstreuth_diana-1044916,,,https://www.instagram.com/diana_herbstreuth_cdu_fu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,Mareike Hermeier,Mareike,Hermeier,Die Linke,Kauffrau im Großhandel,Bielefeld; evangelisch; ledig; ein Kind.,ledig,Nordrhein-Westfalen,Wahlkreis 123: Steinfurt I – Borken I,https://www.bundestag.de/abgeordnete/biografien/H/hermeier_mareike-1044924,,,https://www.instagram.com/mareike_ist_links/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,Nadine Heselhaus,Nadine,Heselhaus,SPD,Diplom-Verwaltungswirtin (FH),Solingen; geschieden; vier Kinder.,geschieden,Nordrhein-Westfalen,Wahlkreis 125: Borken II,https://www.bundestag.de/abgeordnete/biografien/H/heselhaus_nadine-1044944,https://nadine-heselhaus.de/,https://www.facebook.com/nadine.heselhaus/,https://www.instagram.com/nadine.heselhaus/?hl=de,,,,,,,,,,,,,,,,https://www.tiktok.com/@nadine.heselhaus?lang=de-DE,,,,,,,,,,,,
222,,Martin Hess,Martin,Hess,AfD,Polizeihauptkommissar a. D.,Hechingen; ledig; ein Kind.,ledig,Baden-Württemberg,Wahlkreis 265: Ludwigsburg,https://www.bundestag.de/abgeordnete/biografien/H/hess_martin-1044948,https://www.martin-hess-klartext.de,https://www.facebook.com/MartinHessMdB,https://www.instagram.com/martinhess.afd/,https://tiktok.com/@martin_hess_klartext,https://twitter.com/Martin_Hess_MdB,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,Nicole Hess,Nicole,Hess,AfD,Industriekauffrau,Bad Homburg v.d.H.; konfessionslos; verheiratet.,verheiratet,Hessen,,https://www.bundestag.de/abgeordnete/biografien/H/hess_nicole-1044950,,https://www.facebook.com/nicolehessafd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,Heike Heubach,Heike,Heubach,SPD,Industriekauffrau,Rottweil am Neckar.,geschieden,Bayern,Wahlkreis 252: Augsburg-Land,https://www.bundestag.de/abgeordnete/biografien/H/heubach_heike-1044962,https://heike-heubach.de/,https://www.facebook.com/heikeheubachspd,https://www.instagram.com/heikeheubachspd/,https://www.tiktok.com/@heikeheubachspd/,,,https://www.youtube.com/channel/UCWfb7FooKICr7kx4eopNccw,,https://de.linkedin.com/in/heike-heubach-3517a42a4,,,,,,,,,,,,,,,,,,,,,,
225,Dr.,Moritz Heuberger,Moritz,Heuberger,Bündnis 90/Die Grünen,Verwaltungswissenschaftler,Heidenheim an der Brenz.,geschieden,Berlin,Wahlkreis 080: Berlin-Tempelhof-Schöneberg,https://www.bundestag.de/abgeordnete/biografien/H/heuberger_moritz-1044964,https://moritzheuberger.de/,https://www.facebook.com/share/16LBFdrbg8/?mibextid=wwXIfr,https://www.instagram.com/moritz_heuberger,https://www.tiktok.com/@moritz_heuberger,https://x.com/moritzheuberger,,,,https://www.linkedin.com/in/moritzheuberger,https://www.threads.net/@moritz_heuberger,,,,,,,,,,,,,,,https://bsky.app/profile/moritzheuberger.bsky.social,,,,,,
226,,Ansgar Heveling,Ansgar,Heveling,CDU/CSU,Ministerialbeamter,"Rheydt, jetzt Mönchengladbach; römisch-katholisch; verheiratet, ein Sohn.",verheiratet,Nordrhein-Westfalen,Wahlkreis 109: Krefeld I – Neuss II,https://www.bundestag.de/abgeordnete/biografien/H/heveling_ansgar-1044970,http://www.ansgar-heveling.de,https://www.facebook.com/aheveling,https://www.instagram.com/ansgar.heveling.mdb/#,,,,,,,,,,,,,,,,,,,,,,,https://,,,,,
227,,Susanne Hierl,Susanne,Hierl,CDU/CSU,Rechtsanwältin,Eichstätt; römisch-katholisch; verheiratet; zwei Kinder.,verheiratet,Bayern,Wahlkreis 231: Amberg,https://www.bundestag.de/abgeordnete/biografien/H/hierl_susanne-1044978,https://www.susanne-hierl.de,https://www.facebook.com/susanne.hierl.9,https://www.instagram.com/susanne.hierl,,http://twitter.com/hierlsusanne,,,,https://www.linkedin.com/in/susanne-hierl-713050b1,,,,,,,,,,,,,,,,,,,,,,
228,Prof. Dr.,Matthias Hiller,Matthias,Hiller,CDU/CSU,"Steuerberater, Hochschullehrer",Nürtingen; römisch-katholisch; ledig; ein Kind.,ledig,Baden-Württemberg,Wahlkreis 262: Nürtingen,https://www.bundestag.de/abgeordnete/biografien/H/hiller_matthias-1048714,https://www.matthias-hiller.com/,,https://www.instagram.com/matthiashillernt/?hl=de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,Olaf Hilmer,Olaf,Hilmer,AfD,Diplomlogistiker,Veerßen jetzt Uelzen; verheiratet; drei Kinder.,verheiratet,Niedersachsen,,https://www.bundestag.de/abgeordnete/biografien/H/hilmer_olaf-1044990,,https://olaf.hilmer.afd,https://www.instagram.com/olaf.hilmer.afd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,Karsten Hilse,Karsten,Hilse,AfD,,Hoyerswerda.,geschieden,Sachsen,Wahlkreis 155: Bautzen I,https://www.bundestag.de/abgeordnete/biografien/H/hilse_karsten-1044992,https://karstenhilse.de/,https://www.facebook.com/Karsten.Hilse.Politiker/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,Christian Hirte,Christian,Hirte,CDU/CSU,Rechtsanwalt und Fachanwalt Steuerrecht,Bad Salzungen; römisch-katholisch; verheiratet; drei Kinder.,verheiratet,Thüringen,Wahlkreis 189: Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,https://www.bundestag.de/abgeordnete/biografien/H/hirte_christian-1045006,http://www.christian-hirte.de/,https://www.facebook.com/ChristianHirteMdB,https://www.instagram.com/christianhirtemdb,,http://www.twitter.com/christianhirte,,,,https://www.linkedin.com/christian-hirte,,,,,,,,,,,,,,,,,,,,,,
232,,Nicole Höchst,Nicole,Höchst,AfD,Regierungsschuldirektorin a. D.,Homburg (Saar).,geschieden,Rheinland-Pfalz,Wahlkreis 200: Kreuznach,https://www.bundestag.de/abgeordnete/biografien/H/hoechst_nicole-1045014,https://nicole-hoechst.de,https://www.facebook.com/hoechstmdb,https://instagram.com/hoechstnicole,,https://twitter.com/Nicole_Hoechst,,,,,,http://t.me/nicolehoechstmdb,,,,,,,,,,,,,,,,,,,,
233,,Alexander Hoffmann,Alexander,Hoffmann,CDU/CSU,Oberrechtsrat,Würzburg; römisch-katholisch; verheiratet; ein Kind.,verheiratet,Bayern,Wahlkreis 248: Main-Spessart,https://www.bundestag.de/abgeordnete/biografien/H/hoffmann_alexander-1048720,http://www.alexander-hoffmann.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,Philip M. A. Hoffmann,Philip M. A.,Hoffmann,CDU/CSU,Ökonom,Merzig; römisch-katholisch; verheiratet; zwei Kinder.,verheiratet,Saarland,Wahlkreis 297: Saarlouis,https://www.bundestag.de/abgeordnete/biografien/H/hoffmann_philip-1045026,https://www.philip-hoffmann.de,,https://www.instagram.com/hoffmann_philip/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Dr.,Anton Hofreiter,Anton,Hofreiter,Bündnis 90/Die Grünen,Diplom Biologe,München; verheiratet; ein Kind.,verheiratet,Bayern,Wahlkreis 220: München-Land,https://www.bundestag.de/abgeordnete/biografien/H/hofreiter_anton-1045040,http://www.toni-hofreiter.de/,https://www.facebook.com/anton.hofreiter/,https://www.instagram.com/toni_hofreiter/,,,,,,,,,https://www.youtube.com/user/tonihofreiter,,,,,,,,,,,,,,,,,,,
236,,Leif-Erik Holm,Leif-Erik,Holm,AfD,Ökonom (M. Sc.),Schwerin; verheiratet; vier Kinder.,verheiratet,Mecklenburg-Vorpommern,Wahlkreis 012: Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,https://www.bundestag.de/abgeordnete/biografien/H/holm_leif-1045050,https://www.leif-erik-holm.de/,https://www.facebook.com/leiferikholm2/,https://www.instagram.com/holmleiferik,https://www.tiktok.com/@leiferikholm,https://www.x.com/Leif_Erik_Holm,,,,,,,https://www.youtube.com/c/leiferikholm-afd,,,,,,,,,,,,,,,,,,,
237,Dr.,Hendrik Hoppenstedt,Hendrik,Hoppenstedt,CDU/CSU,"Jurist, Staatsminister a.D., Bürgermeister a.D.",Großburgwedel; evangelisch-lutherisch; verheiratet; zwei Kinder.,verheiratet,Niedersachsen,Wahlkreis 043: Hannover-Land I,https://www.bundestag.de/abgeordnete/biografien/H/hoppenstedt_hendrik-1045070,http://www.hendrik-hoppenstedt.de,http://www.facebook.com/HendrikHoppenstedt,https://www.instagram.com/hendrikhoppenstedt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,Franziska Hoppermann,Franziska,Hoppermann,CDU/CSU,Senatsdirektorin/ Diplom Kauffrau,Hamburg; römisch-katholisch; verheiratet; ein Kind.,verheiratet,Hamburg,Wahlkreis 022: Hamburg-Wandsbek,https://www.bundestag.de/abgeordnete/biografien/H/hoppermann_franziska-1045072,https://www.franziska-hoppermann.de,https://www.facebook.com/f.hoppermann,https://instagram.com/franziskahoppermann.cdu,,https://www.twitter.com/FHoppermann,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,Michael Hose,Michael,Hose,CDU/CSU,Schulleiter,"Weimar, evangelisch, eine Tochter.",geschieden,Thüringen,Wahlkreis 192: Erfurt – Weimar – Weimarer Land II,https://www.bundestag.de/abgeordnete/biografien/H/hose_michael-1045100,https://michaelhose.de/,https://www.facebook.com/michaelhose84,https://www.instagram.com/michaelhose?igsh=MW50M3dycnBqdzJndw%3D%3D&utm_source=qr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,Luke Hoß,Luke,Hoß,Die Linke,,Bad-Cannstatt.,geschieden,Bayern,Wahlkreis 228: Passau,https://www.bundestag.de/abgeordnete/biografien/H/hoss_luke-1045106,https://www.luke-hoss.de,,https://www.instagram.com/hoss_luke/,https://www.tiktok.com/@hossluke,,,,https://bsky.app/profile/luke-hoss.de,,,,,,,,,,,,,,,,,,,,,,,
241,,Jasmina Hostert,Jasmina,Hostert,SPD,Politikwissenschaftlerin,Sarajevo.,geschieden,Baden-Württemberg,Wahlkreis 260: Böblingen,https://www.bundestag.de/abgeordnete/biografien/H/hostert_jasmina-1045108,https://www.jasmina-hostert.de/,https://www.facebook.com/jasmina.hostert,https://www.instagram.com/jasminahostert,https://www.tiktok.com/@jasmina.hostert,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,Verena Hubertz,Verena,Hubertz,SPD,Unternehmerin,Trier; römisch-katholisch; ledig.,ledig,Rheinland-Pfalz,Wahlkreis 202: Trier,https://www.bundestag.de/abgeordnete/biografien/H/hubertz_verena-1045124,https://verena-hubertz.de/,https://www.facebook.com/verenahubertz.spd,https://www.instagram.com/verenahubertz/,,https://twitter.com/verenahubertz,,,,,,,,,,,,,,,https://www.linkedin.com/in/verena-hubertz-baa2aaa4/,,,,,,,,,,,
243,,Gerrit Huy,Gerrit,Huy,AfD,Diplom-Mathematikerin,Braunschweig; verheiratet; drei Kinder.,verheiratet,Bayern,Wahlkreis 225: Weilheim,https://www.bundestag.de/abgeordnete/biografien/H/huy_rose-1045152,https://gerrithuy.de/,https://www.facebook.com/gerrithuy.afd,https://www.instagram.com/gerrithuy.afd/,https://www.tiktok.com/@gerrithuy?lang=de-DE,https://twitter.com/GerritHuy,,https://www.youtube.com/channel/UCZJFECewSRnXpiZ1Ndmhnhg,,,,https://t.me/gerrithuy,,https://www.gettr.com/user/gerrithuy,,,,,,,,,,,,,,,,,,
244,,Cem Hamit Ince,Cem Hamit,Ince,Die Linke,Elektroniker für Automatisierungstechnik,Salzgitter; ledig.,ledig,Niedersachsen,Wahlkreis 049: Salzgitter – Wolfenbüttel,https://www.bundestag.de/abgeordnete/biografien/I/ince_cem-1045160,http://www.die-linke-salzgitter.de/bundestagswahl-2025/,https://www.facebook.com/people/Cem-Ince/61571990643370/?locale=de_DE,https://www.instagram.com/linker.cem/,https://www.tiktok.com/@linker.cem,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,Fabian Jacobi,Fabian,Jacobi,AfD,Rechtsanwalt,Münster/Westfalen.,geschieden,Nordrhein-Westfalen,Wahlkreis 092: Köln I,https://www.bundestag.de/abgeordnete/biografien/J/jacobi_fabian-1045178,https://afdbundestag.de/abgeordnete/fabian-jacobi/,https://www.facebook.com/MdB.Jacobi/,,,,,https://youtube.com/fabianjacobimdb,,,,,,,,,,,,,,,,,,,,,,,,
246,,Steffen Janich,Steffen,Janich,AfD,,Pirna.,geschieden,Sachsen,Wahlkreis 157: Sächsische Schweiz-Osterzgebirge,https://www.bundestag.de/abgeordnete/biografien/J/janich_steffen-1045194,https://www.steffenjanich.de,https://www.facebook.com/SteffenJanichAfD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
